word,auditory.mean,gustatory.mean,haptic.mean,interoceptive.mean,olfactory.mean,visual.mean,foot_leg.mean,hand_arm.mean,head.mean,mouth.mean,torso.mean,exclusivity.perceptual,dominant.perceptual,exclusivity.action,dominant.action,exclusivity.sensorimotor,dominant.sensorimotor
shiny,0.158,0.105,0.842,0.316,0.053,4.526,0.571,1.381,3.762,0.524,0.667,0.746,visual,0.469,head,0.347,visual
shorter,0.647,0.059,1.059,0.294,0.059,3.235,1.842,1.895,1.158,0.632,1.526,0.593,visual,0.179,hand_arm,0.256,visual
shot,2.833,0.278,1.111,2.167,0.5,2.556,1.3,1.95,1.8,0.85,1.35,0.271,auditory,0.152,hand_arm,0.153,auditory
shoulder,0.105,0.053,3.316,0.947,0.053,4.053,0.286,2.952,1.333,0.286,2.81,0.469,visual,0.348,hand_arm,0.247,visual
shouter,4.632,0.0,0.053,0.316,0.0,1.947,0.0,0.111,2.056,3.278,0.056,0.667,auditory,0.596,mouth,0.372,auditory
show,3.133,0.067,1.0,1.533,0.333,4.467,1.0,1.857,2.143,1.381,0.857,0.418,visual,0.178,head,0.248,visual
shower,2.762,0.19,3.762,1.714,1.143,3.619,4.0,4.389,4.167,2.833,4.056,0.271,haptic,0.08,hand_arm,0.129,hand_arm
showing,0.938,0.0,0.562,0.375,0.25,4.125,0.9,2.15,2.75,0.95,1.0,0.66,visual,0.239,head,0.295,visual
shown,0.211,0.053,0.158,0.316,0.0,3.895,0.3,1.8,2.65,1.05,0.2,0.841,visual,0.408,head,0.366,visual
shut,2.111,0.0,2.389,0.333,0.111,3.611,1.05,3.25,1.45,1.45,0.95,0.422,visual,0.282,hand_arm,0.216,visual
shutter,1.238,0.0,1.476,1.095,0.0,3.238,0.722,2.111,1.333,0.833,0.778,0.459,visual,0.24,hand_arm,0.252,visual
shutting,2.944,0.0,2.944,0.278,0.0,3.833,0.75,3.6,1.25,1.4,0.5,0.383,visual,0.413,hand_arm,0.219,visual
sick,1.684,0.526,0.737,3.895,0.842,3.105,1.529,1.824,3.882,3.471,3.176,0.312,interoceptive,0.169,head,0.137,interoceptive
side,0.957,0.087,2.0,0.478,0.043,4.0,1.25,2.042,1.792,1.333,1.917,0.523,visual,0.095,hand_arm,0.249,visual
sides,1.056,0.222,2.111,0.611,0.167,3.0,1.389,2.167,1.722,0.556,1.611,0.395,visual,0.216,hand_arm,0.194,visual
sight,0.053,0.0,0.158,1.158,0.0,5.0,0.0,0.095,4.714,0.0,0.0,0.785,visual,0.98,head,0.447,visual
sign,0.765,0.118,1.471,0.529,0.353,4.294,0.412,3.706,3.059,1.176,0.824,0.555,visual,0.359,hand_arm,0.25,visual
signal,2.944,0.278,1.111,1.111,0.278,4.333,1.0,2.421,2.211,1.579,0.842,0.403,visual,0.196,hand_arm,0.224,visual
silence,4.0,0.059,0.176,0.588,0.059,0.647,0.474,0.579,3.211,1.579,0.474,0.713,auditory,0.433,head,0.333,auditory
silent,4.0,0.0,0.353,1.235,0.0,1.235,0.526,0.474,2.684,2.368,0.474,0.586,auditory,0.339,head,0.3,auditory
silk,1.312,0.312,3.938,0.812,0.5,3.875,1.7,3.2,2.4,0.75,2.2,0.337,haptic,0.239,hand_arm,0.173,haptic
silver,0.722,0.167,2.278,0.0,0.444,4.333,0.05,1.05,2.5,0.15,0.05,0.545,visual,0.645,head,0.369,visual
similar,2.294,1.471,1.618,1.029,1.324,3.5,0.421,1.0,2.474,1.421,0.211,0.22,visual,0.41,head,0.196,visual
simple,2.438,0.5,0.875,1.312,0.375,2.625,0.684,0.737,2.263,1.263,0.684,0.277,visual,0.28,head,0.164,visual
simpler,1.889,0.389,0.167,1.056,0.278,2.389,0.364,0.955,2.5,1.0,0.227,0.36,visual,0.45,head,0.208,head
simply,1.167,0.833,0.667,1.833,0.389,1.667,0.682,0.955,2.364,1.273,0.864,0.22,interoceptive,0.274,head,0.156,head
simultaneous,1.933,0.267,0.667,0.733,0.333,2.8,1.789,1.684,2.368,1.632,1.474,0.376,visual,0.1,head,0.162,visual
sin,2.111,0.889,1.722,2.278,0.944,3.056,1.19,1.762,2.619,2.333,1.762,0.197,visual,0.148,head,0.105,visual
