word,appears_in
hang,['20po']
seeing,"['20po', '109po']"
right,"['20po', '58po', '65po', '104po', '109po']"
lesson,"['20po', '109po']"
learn,['20po']
plenty,"['20po', '21po', '109po']"
making,"['20po', '109po']"
cloth,"['21to', '21po', '22po', '109po']"
almost,"['21po', '60po', '61po', '109po']"
besides,"['21po', '58po']"
room,"['21po', '58po', '60po', '109po']"
foliage,['22po']
oil,"['22po', '108po']"
wondering,['22po']
winningly,['22po']
several,['22po']
kinds [kind],"['22po', '62po']"
oceans [ocean],['22po']
enthusiastic,['22po']
snips [snip],['22po']
shining,"['22po', '37po', '41po', '60po', '109po']"
cup,"['23to', '27po', '60po', '63po', '69po', '107po']"
saucer,"['23to', '23po']"
enthusiastically,['23po']
hurting,['23po']
clouded,['23po']
bud,['23po']
bite,"['23po', '65po']"
objects [object],['24to']
within,"['24po', '52po', '78po']"
joint,"['24po', '27po']"
alone,"['24po', '65po']"
equals [equal],['24po']
elbow,['24po']
filled,['24po']
squeezing,"['24po', '61po']"
glasses,"['25to', '41po', '61po']"
shaving,"['25po', '45po']"
saloon,['25po']
placed [place],"['25po', '54po', '67po', '109po']"
alley,['25po']
cutlet,['26to']
agitation,['26po']
manly,['26po']
uttermost,['26po']
water,"['27to', '27po', '30to', '30po', '59po', '60po', '61po', '109po']"
broken,['27po']
mended [mend],"['27po', '60po', '109po']"
mending,"['27po', '109po']"
culture,['27po']
element,['27po']
angels [angel],['27po']
orders [order],['27po']
choosing,"['27po', '53po']"
ministering [minister],['27po']
counting,"['27po', '60po', '109po']"
hair,"['27po', '109po']"
orderly,"['27po', '61po']"
balloon,"['27po', '53po']"
famously,['27po']
courteous,['28po']
readiness,['28po']
eyesight,['28po']
likeness,"['28po', '58po', '59po', '61po', '109po']"
stool,['28po']
drawing,['29to']
meaning,"['29po', '41po', '58po', '60po', '63po']"
entirely,"['29po', '58po']"
bitter,['29po']
tall,"['29po', '42po', '47po']"
broader [broad],['29po']
half,"['29po', '69po']"
raining [rain],['30to']
astonishing,"['30po', '59po', '109po']"
difficult,"['30po', '109po']"
meadow [meadow],"['30po', '58po']"
stroke,['30po']
cold,"['31to', '45po', '58po', '61po', '63po', '66po', '67po', '68po', '82po', '109po']"
climate,"['31to', '60po', '109po']"
sold,"['31po', '40po', '95po']"
strings,['31po']
lying,"['31po', '109po']"
malachite [crystal],['32to']
spoon,"['32po', '58po', '102po']"
wound,['32po']
decision,"['32po', '60po', '109po']"
coloring,"['33po', '62po', '109po']"
high,"['33po', '54po']"
front,['33po']
peace,['33po']
dot,['33po']
petticoat,['34to']
ink,"['34po', '56po']"
spot,"['34po', '51po']"
rosy,['34po']
