word,appears_in,Auditory.mean,Dominant.action,Dominant.perceptual,Dominant.sensorimotor,Exclusivity.action,Exclusivity.perceptual,Exclusivity.sensorimotor,Foot_leg.mean,Gustatory.mean,Hand_arm.mean,Haptic.mean,Head.mean,Interoceptive.mean,Mouth.mean,Olfactory.mean,Torso.mean,Visual.mean
plus,['45po'],0.529,head,visual,head,0.393,0.61,0.272,0.268,0.059,0.878,0.118,1.707,0.118,0.537,0.059,0.268,1.529
pocketful,['60po'],0.438,hand_arm,haptic,haptic,0.362,0.466,0.219,1.632,0,2.895,3,1.526,0.312,0.263,0,0.947,2.688
point,"['3po', '53po']",1.222,hand_arm,visual,visual,0.401,0.469,0.246,0.526,0.167,3.421,1.944,1.789,0.667,0.632,0.111,0.842,3.833
pointing,['0po'],0,hand_arm,visual,hand_arm,0.597,0.67,0.358,0.45,0,4.95,1.556,1.5,0.389,0.2,0,0.85,3.944
poison,"['61po', '80po']",0.389,mouth,interoceptive,interoceptive,0.162,0.307,0.175,0.95,2.111,1.15,1.167,1.5,3.389,2.15,1.222,1.65,1.5
poisonous,['58po'],1.235,mouth,visual,mouth,0.36,0.131,0.132,0.5,1.882,0.9,1.706,1.8,2.176,2.95,1.941,0.65,2.765
pole,"['54po', '58po']",0.1,hand_arm,visual,visual,0.328,0.522,0.3,1.25,0,2.15,3.6,1.4,0.15,0.2,0,0.95,4.2
polishing,['1po'],0.286,hand_arm,visual,visual,0.557,0.573,0.32,0.045,0.048,2.5,1.571,1.682,0.048,0.136,0.381,0.045,3.238
polite,['69po'],4.056,mouth,auditory,auditory,0.269,0.395,0.206,0.7,0.278,1.3,0.389,2.9,1.056,3.05,0.278,0.8,3.5
pope,['45po'],2.955,head,visual,visual,0.237,0.497,0.279,0.842,0,1.263,0.455,2.105,0.5,1.368,0.091,0.632,3.955
pops,['46po'],3.667,hand_arm,auditory,auditory,0.218,0.275,0.161,1.05,0.778,2.45,1.278,2.4,1.389,1.7,0.778,0.65,2.611
post,"['43po', '67po']",0.368,head,visual,visual,0.271,0.583,0.277,0.684,0,2.211,1.895,2.526,0.263,0.947,0.105,0.632,3.684
potato,"['66po', '88po']",0.25,mouth,gustatory,gustatory,0.371,0.262,0.165,0.19,4.55,2.333,3.5,2.19,0.3,3.905,3.4,1.381,4.4
potatoes,"['60po', '74to', '74po', '75to', '76to', '76po', '84po']",0.25,mouth,gustatory,gustatory,0.371,0.262,0.165,0.19,4.55,2.333,3.5,2.19,0.3,3.905,3.4,1.381,4.4
pounded,['10po'],1.889,hand_arm,haptic,hand_arm,0.441,0.284,0.202,1.263,0.389,3.579,2.833,1.316,1.333,0.263,0.167,1.105,2.778
pounding,['48po'],2.944,hand_arm,auditory,hand_arm,0.374,0.26,0.163,0.842,0.222,3.105,2.611,1.579,2.222,0.368,0.167,1.421,2.5
